LXT2 info: dumpfile dump.lx2 opened for output.
Current Number:    1, Prime? 0, Clocks:           4, Primes:   0
Current Number:  883, Prime? 1, Clocks:        1772, Primes: 153

Current Number:  885, Prime? 0, Clocks:        1776, Primes: 153

Current Number:  887, Prime? 1, Clocks:        1780, Primes: 154

Current Number:  889, Prime? 0, Clocks:        1784, Primes: 154

Current Number:  891, Prime? 0, Clocks:        1788, Primes: 154

Current Number:  893, Prime? 0, Clocks:        1792, Primes: 154

Current Number:  895, Prime? 0, Clocks:        1796, Primes: 154

Current Number:  897, Prime? 0, Clocks:        1800, Primes: 154

Current Number:  899, Prime? 0, Clocks:        1804, Primes: 154

Current Number:  901, Prime? 0, Clocks:        1808, Primes: 154

Current Number:  903, Prime? 0, Clocks:        1812, Primes: 154

Current Number:  905, Prime? 0, Clocks:        1816, Primes: 154

Current Number:  907, Prime? 1, Clocks:        1820, Primes: 155

Current Number:  909, Prime? 0, Clocks:        1824, Primes: 155

Current Number:  911, Prime? 1, Clocks:        1828, Primes: 156

Current Number:  913, Prime? 0, Clocks:        1832, Primes: 156

Current Number:  915, Prime? 0, Clocks:        1836, Primes: 156

Current Number:  917, Prime? 0, Clocks:        1840, Primes: 156

Current Number:  919, Prime? 1, Clocks:        1844, Primes: 157

Current Number:  921, Prime? 0, Clocks:        1848, Primes: 157

Current Number:  923, Prime? 0, Clocks:        1852, Primes: 157

Current Number:  925, Prime? 0, Clocks:        1856, Primes: 157

Current Number:  927, Prime? 0, Clocks:        1860, Primes: 157

Current Number:  929, Prime? 1, Clocks:        1864, Primes: 158

Current Number:  931, Prime? 0, Clocks:        1868, Primes: 158

Current Number:  933, Prime? 0, Clocks:        1872, Primes: 158

Current Number:  935, Prime? 0, Clocks:        1876, Primes: 158

Current Number:  937, Prime? 1, Clocks:        1880, Primes: 159

Current Number:  939, Prime? 0, Clocks:        1884, Primes: 159

Current Number:  941, Prime? 1, Clocks:        1888, Primes: 160

Current Number:  943, Prime? 0, Clocks:        1892, Primes: 160

Current Number:  945, Prime? 0, Clocks:        1896, Primes: 160

Current Number:  947, Prime? 1, Clocks:        1900, Primes: 161

Current Number:  949, Prime? 0, Clocks:        1904, Primes: 161

Current Number:  951, Prime? 0, Clocks:        1908, Primes: 161

Current Number:  953, Prime? 1, Clocks:        1912, Primes: 162

Current Number:  955, Prime? 0, Clocks:        1916, Primes: 162

Current Number:  957, Prime? 0, Clocks:        1920, Primes: 162

Current Number:  959, Prime? 0, Clocks:        1924, Primes: 162

Current Number:  961, Prime? 0, Clocks:        1928, Primes: 162

Current Number:  963, Prime? 0, Clocks:        1932, Primes: 162

Current Number:  965, Prime? 0, Clocks:        1936, Primes: 162

Current Number:  967, Prime? 1, Clocks:        1940, Primes: 163

Current Number:  969, Prime? 0, Clocks:        1944, Primes: 163

Current Number:  971, Prime? 1, Clocks:        1948, Primes: 164

Current Number:  973, Prime? 0, Clocks:        1952, Primes: 164

Current Number:  975, Prime? 0, Clocks:        1956, Primes: 164

Current Number:  977, Prime? 1, Clocks:        1960, Primes: 165

Current Number:  979, Prime? 0, Clocks:        1964, Primes: 165

Current Number:  981, Prime? 0, Clocks:        1968, Primes: 165

Current Number:  983, Prime? 1, Clocks:        1972, Primes: 166

Current Number:  985, Prime? 0, Clocks:        1976, Primes: 166

Current Number:  987, Prime? 0, Clocks:        1980, Primes: 166

Current Number:  989, Prime? 0, Clocks:        1984, Primes: 166

Current Number:  991, Prime? 1, Clocks:        1988, Primes: 167

Current Number:  993, Prime? 0, Clocks:        1992, Primes: 167

Current Number:  995, Prime? 0, Clocks:        1996, Primes: 167

Current Number:  997, Prime? 1, Clocks:        2000, Primes: 168

Current Number:  999, Prime? 0, Clocks:        2004, Primes: 168

Correct Number of Primes found.

primenums_tb.v:215: $finish called at 100000 (1ns)
